Reporting,Owner,Installation Date,Station Name,,Adresses,Site Type,Latitude,Longitude,Council District,Agreement determined Neighborhood,Base Non-Bolted,Base Bolted,Power Type,Board Type,Aircard Type,AC Plugin,Dock,Bikes Ordered via TIP,Bikes Ordered via HBS,Method of Insurance,Station Count ,Dock Count,Bike Count,Notes,Bike to Dock Ratio,METRO?,Sponsor,Sponsor Amt Pd,"BTT
Installed"
TIP,COH,10/24/2017,HCC Central,,"1300 Holman St., Houston, TX 77004",ROW,29.738365,-95.376953,D,Midtown,N/A,7,DC ,1.5 DL,Verizon 3G,N/A,13,13,,,,,,,,Y,,,
TIP,COH,7/24/2017,Health Museum,,"1515 Hermann Dr., Houston, TX 77004",ROW,29.72151,-95.38606,D,Museum District,N/A,8,DC ,1.5 DL,Verizon 3G,N/A,15,11,,,,,,,,,,,
TIP,COH,1/31/2019,Memorial Park Picnic Loop,,"S Picnic Ln, Houston, TX 77007",Park,29.764643,-95.439908,C,Memorial Park,N/A,8,DC ,1.5 DL,Feeney 4G,N/A,15,10,,,,,,,,,,,
TIP,COH,1/31/2019,Memorial Park Running Center,,"N Picnic Ln, Houston, TX 77007",Park,29.7671,-95.4474,C,Memorial Park,4,N/A,DC ,,Feeney 4G,N/A,18,9,,,,,,,,,,,
TIP,COH,6/1/2020,Austin & Gray,,"2101 Austin St., Houston TX 77002",ROW,29.74651,-95.36803,C/ D,Midtown,7,N/A,DC,1.5,,N/A,13,,,,,,,,,Y,,,
TIP,COH,6/14/2017,Baldwin Park,,"1701 Elgin St., Houston, TX 77004",Park,29.73837,-95.371,D,Midtown,N/A,7,DC,1.5 DL,Verizon 3G,N/A,13,11,,,,,,,,,,,
,HBS,11/17/2015; 05/01/2021,Brazos & McGowen,,"2600 Brazos St., Houston, TX 77006",ROW,29.747993,-95.378379,C,Midtown,N/A,7,DC,1,Inseego DS,N/A,13,7,,,,,,,,,,,
TIP,COH,6/8/2020,Dunlavy & Westheimer,,"1706 Westheimer Rd, Houston, TX 77098",ROW,29.7428,-95.4023,C,Montrose,,,DC,1.5,,,11,,,,,,,,,,,,
TIP,COH,12/17/2019,Eleanor Tinsley Park,,18-3600 Allen Pkwy. Houston TX 77019,Park,29.7614,-95.38063,C,Montrose,4,N/A,DC,,,N/A,14,3,,,,,,,,,,,
,COH,2/21/2013,Ensemble/HCC METRORail,,"3512 Main St., Houston, TX 77002",ROW,29.73929596,-95.37915802,D,Midtown,4,N/A,DC,1.5,Verizon 3G,N/A,14,9,,,,,,,,Y,,,
PC1,PC1,1/28/2021,Fonde Recreation Center,,"110 Sabine St. Houston, TX 77007",ROW," 29°45'48.10""N"," 95°22'31.68""W",C,Montrose,N/A,6,DC,1,Inseego DS,N/A,11,,,,,,,,,,,,
"TIP, PC1",COH,12/17/2019,Hermann Park Bill Coats Bridge @ Almeda,,"6340 Almeda Road, Houston TX 77030",Park,29.70973,-95.38344,,Hermann Park,N/A,9,DC,,,N/A,17,6,,,,,,,,Y,,,
